銘柄コード,企業名,価格,利回り(%),年間配当,セクター,配当内訳
1434,ＪＥＳＣＯホールディングス,2413.0,199,48.0,資本財,ex:2025-08-28|pay:2025-11:40.0
1435,ｒｏｂｏｔ　ｈｏｍｅ,181.0,110,2.0,不動産,"ex:2025-06-27|pay:2025-09:1.0, ex:2025-12-29|pay:2026-03:1.0"
1436,グリーンエナジー＆カンパニー,1853.0,81,15.0,資本財,ex:2026-04-28|pay:2026-07:15.0
1438,岐阜造園,1950.0,205,40.0,資本財,"ex:2025-09-29|pay:2025-12:18.0, ex:2026-03-30|pay:2026-06:20.0"
143A,イシン,719.0,0,0.0,コミュニケーション・サービス,
1443,技研ホールディングス,284.0,39,1.1,資本財,ex:2026-03-30|pay:2026-06:1.1
1444,ニッソウ,2775.0,0,0.0,一般消費財,
1445,ひかりホールディングス,2900.0,0,0.0,,
1446,キャンディル,521.0,192,10.0,資本財,ex:2025-09-29|pay:2025-12:8.0
1447,ＳＡＡＦホールディングス,301.0,159,4.8,情報技術,ex:2026-03-30|pay:2026-06:4.5
144A,エネルギーパワー,450.0,0,0.0,,
1450,ＴＡＮＡＫＥＮ,1449.0,380,55.0,資本財,ex:2026-03-30|pay:2026-06:55.0
1452,横浜ライト工業,18530.0,0,0.0,,
1456,ｉＦｒｅｅＥＴＦ　日経平均インバース・インデックス,1397.0,0,0.0,,
1457,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸインバース（－１倍）指数,1889.0,0,0.0,,
1458,楽天ＥＴＦ‐日経レバレッジ指数連動型,74250.0,0,0.0,,
1459,楽天ＥＴＦ‐日経ダブルインバース指数連動型,142.0,0,0.0,,
145A,Ｌ　ｉｓ　Ｂ,855.0,0,0.0,情報技術,
